osm_id,service_type,name,lat,lon
10939797500,clinic,Градска кардиология,42.675372,23.316854
10945835434,clinic,Д-р Величка Терзиева,42.650835,23.340761
10962627396,pharmacy,,42.693448,27.710675
10963045991,clinic,Неврологичен кабинет д-р Бързински,42.160852,24.741098
10965222649,pharmacy,Аптека,41.377979,25.255681
10965688634,hospital,Спешна Медицинска Помощ  - Филиал Бенковски,41.376644,25.256363
10965747015,clinic,Очен доктор,41.380762,25.2553
10965747016,pharmacy,Аптека,41.380786,25.255305
10967317133,hospital,ДКЦ Каспичан,43.312754,27.157804
10967317134,pharmacy,Марешки,43.313863,27.157555
10967355184,school,СУ Христо Ботев,41.495711,25.299909
10967360148,school,,41.497335,25.299443
10969080205,pharmacy,Марешки,43.221579,23.546595
10969164905,pharmacy,Феникс,43.222059,23.54603
10969642463,clinic,Д-р Радев,42.673982,23.284761
10969764177,clinic,,42.668154,27.706555
10969764182,pharmacy,Diana,42.669549,27.706513
10970468805,pharmacy,Ремедиа,43.204795,23.555107
10979756968,pharmacy,Първа частна аптека,43.347478,27.195484
10981468791,hospital,ДКЦ Нови Пазар,43.347119,27.202227
10981468792,hospital,ЦСМП,43.347375,27.203646
10981468795,school,"СУ ""Хан Исперих""",43.342296,27.191374
10981468796,school,"ПГ по Химични Технологии и Дизайн ""проф. д-р Асен Златаров""",43.342605,27.191862
10982942146,pharmacy,SOpharmacy,42.602219,23.047208
10982993809,pharmacy,SOpharmacy,42.182865,24.345035
10983673765,pharmacy,Аптека 37.7,42.194103,24.331724
10984702588,pharmacy,,42.705032,27.722451
10990164705,pharmacy,Фармакон-96,43.205061,23.548662
10993259226,pharmacy,,42.606418,27.386994
11007184333,kindergarten,,42.238616,24.689131
11010170228,kindergarten,Детско селце,43.328206,27.732753
11013804961,clinic,Саздановски Медика Нова,42.686822,23.330824
11014188804,school,Мари Жанет,42.670142,23.284176
11015012395,pharmacy,,42.695372,27.708417
11015030190,pharmacy,,42.695389,27.710647
11015030197,pharmacy,,42.695174,27.711577
11023710548,school,Откривател,42.673841,23.313132
11024168729,pharmacy,св. Екатерина,42.076478,24.596571
11025877409,pharmacy,,43.212946,27.925098
11030599381,clinic,Sana medic,43.199049,27.913538
11032315314,school,ЧУ Артис,42.648192,23.374672
11042190238,pharmacy,Sigma,42.672642,23.283521
11042230519,clinic,Рентген,42.672852,23.283765
11044588375,school,"ПГ по Компютърно Моделиране и Компютърни Системи ""Акад. Благовест Сендов""",43.224056,27.938117
11047025045,hospital,ЦСМП Айтос,42.696786,27.248712
11049198345,pharmacy,SOpharmacy,43.845657,25.966191
11059897722,pharmacy,Аптека МЕСАМЕР с.Розино,42.712245,24.547615
11059897757,pharmacy,,42.712529,24.549155
11062143976,pharmacy,Subra,42.908054,23.785662
11080357381,clinic,Лилия Методиева,42.673446,23.318627
11080818051,pharmacy,Nature's way,42.684903,23.302103
11085634467,pharmacy,SOpharmacy,42.425485,25.631065
11096603275,pharmacy,Марешки,42.601109,23.026358
11098987392,pharmacy,Марешки,42.133016,24.795272
11098987402,pharmacy,,42.129096,24.785188
11108217919,pharmacy,,42.714284,24.139251
11112294055,kindergarten,116 ДГ Мусала - сграда Гърдова глава,42.657679,23.267411
11116262161,clinic,Каса медикал,42.686608,23.301197
11120044662,pharmacy,Марешки,42.421606,25.627008
11120858527,pharmacy,Аптека МАРВИ 4,42.424857,25.686104
11120858532,clinic,Ippmp D-R Nina Georgieva,42.425904,25.68825
11120858533,clinic,Ippmp - D-R Marieta Dimitrova,42.427429,25.686838
11120858534,pharmacy,,42.426461,25.686771
11124599968,school,,43.046231,24.590556
