osm_id,service_type,amenity_raw,name,lat,lon,district
5262327756,kindergarten,kindergarten,,41.609681,25.378496,Kardzhali
5263817405,school,school,Училище Хр. Ботев,42.439825,23.814043,Sofia Province
5278572885,hospital,hospital,,42.517806,27.370724,Burgas
5290617400,pharmacy,pharmacy,,42.618596,25.3933,Stara Zagora
5303140488,pharmacy,pharmacy,Марешки,42.13944,25.867607,Stara Zagora
5303140496,pharmacy,pharmacy,,42.138567,25.865537,Stara Zagora
5313591999,hospital,hospital,,41.72615,24.684569,Smolyan
5317917849,pharmacy,pharmacy,,42.265253,23.60621,Sofia Province
5318791326,pharmacy,pharmacy,Корект,42.670743,23.353291,Sofia (Capital)
5318976840,clinic,clinic,Център Психично здраве,43.194513,23.555888,Vratsa
5320286896,pharmacy,pharmacy,,43.197819,23.561748,Vratsa
